Beko;Dyson;Electrolux;Samsung;Tefal
;3.5;;;
;1.0;;;
2.875;2.3333333333333335;3.75;1.5;3.5
2.3333333333333335;2.388888888888889;2.772727272727273;2.0;2.8
3.25;2.25;2.5;1.5;2.125
2.269230769230769;2.6666666666666665;2.685185185185185;2.75;3.0714285714285716
2.676470588235294;2.1;2.4;2.5;1.875
2.5416666666666665;2.7;2.576923076923077;2.375;2.45
2.425;2.4642857142857144;2.5526315789473686;2.25;2.9444444444444446
2.0;2.357142857142857;2.6875;1.75;2.7
2.5;2.25;2.5625;2.5;1.625
2.9375;2.2;2.625;1.25;2.6666666666666665
2.75;2.5;2.4375;2.25;3.375
2.25;;2.25;;2.0
2.25;0.75;2.0;2.0;2.75
3.5;;2.25;;
